datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
07/05/2023,33.1,7,20,31.2,6.2,19.6,7.1,47.6,9.4,100,8.33,rain,0,0,20.5,27.7,348.9,1020.3,49.7,12.2,304.5,26.3,10,10,2024-06-10T05:57:46,2024-06-10T19:14:44,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO"
08/05/2023,34.1,7.1,18.6,32.2,5.7,18.4,6.9,51.6,0.2,100,4.17,rain,0,0,59.4,37.1,319.7,1021.1,59.1,13.7,206.2,17.8,10,10,2024-06-11T05:57:51,2024-06-11T19:15:03,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
09/05/2023,27.1,9.1,18.2,26.2,7.3,18.1,6,48.2,0.6,100,4.17,rain,0,0,37.4,33.5,264.9,1022,70.4,14,283.8,24.4,10,10,2024-06-12T05:57:57,2024-06-12T19:15:22,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
10/05/2023,32.1,6.1,18.1,30.8,6.1,18,7.1,53.1,0.1,100,4.17,rain,0,0,21.6,25.9,168,1019.6,32.6,13.5,259.2,22.3,9,10,2024-06-13T05:58:04,2024-06-13T19:15:39,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX,MMTO"
11/05/2023,27.9,7.1,19.4,26.7,7.1,19.2,5.3,45,0,0,0,,0,0,23,25.9,182.3,1015.9,39.8,15,303.4,26.3,10,10,2024-06-14T05:58:12,2024-06-14T19:15:57,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
12/05/2023,28.1,8.1,18.3,26.7,6.8,18.1,6.4,50.6,6.5,100,8.33,rain,0,0,39.2,18.4,199.3,1017.9,43.6,13.6,273.6,23.6,10,10,2024-06-15T05:58:21,2024-06-15T19:16:13,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
13/05/2023,27,6.1,18,26.2,4.1,17.9,7.2,53.9,0.491,100,4.17,rain,0,0,57.6,33.4,38,1019,55.8,13.4,256.8,22.2,10,10,2024-06-16T05:58:30,2024-06-16T19:16:29,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
14/05/2023,30.1,11.1,18.3,28.9,11.1,18.2,6.8,51.7,0.8,100,8.33,rain,0,0,16.9,25.9,69.9,1022.2,57.5,14.4,295,25.4,10,10,2024-06-17T05:58:40,2024-06-17T19:16:45,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999,MMMX"
15/05/2023,23.9,9.1,17,23.9,7,16.9,4.5,47.4,0.2,100,4.17,rain,0,0,25.9,27.7,322,1024.6,52.5,16.8,266.1,23.3,10,10,2024-06-18T05:58:51,2024-06-18T19:16:59,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMMX,76675099999"
16/05/2023,29.1,7.1,15.9,28,5.7,15.7,6.5,57.1,2.4,100,12.5,rain,0,0,48.2,26.5,143,1023.4,55.1,12.1,222.1,19,9,10,2024-06-19T05:59:03,2024-06-19T19:17:13,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX,MMTO"
17/05/2023,30,7.1,18.6,28.8,7.1,18.5,6,46.7,0.2,100,8.33,rain,0,0,13.3,25.8,140.7,1018.9,54.7,13.7,206.2,17.9,9,10,2024-06-20T05:59:15,2024-06-20T19:17:27,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76679399999,76680099999,MMCB,MMSM,MMMX,76675099999"
18/05/2023,27,7.1,18.3,26.9,5.7,18.2,5.6,49.4,0.7,100,4.17,rain,0,0,11.9,31.7,341.4,1019.3,52.8,15.3,259.2,22.3,10,10,2024-06-21T05:59:29,2024-06-21T19:17:39,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
19/05/2023,25,14.9,18.8,25,14.9,18.8,8.7,54.9,0.7,100,4.17,rain,0,0,19.4,35.3,40.3,1021.2,99,14.5,276.6,23.9,10,10,2024-06-22T05:59:42,2024-06-22T19:17:51,0.53,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMMX"
20/05/2023,31,10.1,18.5,29.8,10.1,18.4,9.6,59.9,0.7,100,8.33,rain,0,0,14,25.9,11.3,1023.2,91,13,224.1,19.5,9,10,2024-06-23T05:59:57,2024-06-23T19:18:02,0.56,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
21/05/2023,31,14,18.8,29.6,14,18.7,10,59,1.4,100,20.83,rain,0,0,13,29.5,325.9,1022.8,89.2,12.7,186.6,16,10,10,2024-06-24T06:00:12,2024-06-24T19:18:12,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
